epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1005.09,1.44795,1.68113,0.97424,0.87109,0.71395,0.73961,0.49002,1.14521,1.03681,0.93197,0.00332916,0.00332916,0.00332916
2,2171.43,1.17395,0.90316,0.91209,0.86435,0.52246,0.5263,0.35366,1.09413,0.76354,0.9135,0.00659654,0.00659654,0.00659654
3,3307.14,1.13474,0.72649,0.90313,0.92006,0.78723,0.83089,0.58333,1.01598,0.66211,0.8965,0.00979791,0.00979791,0.00979791
4,4168.94,1.04485,0.61657,0.89228,0.86811,0.90077,0.93168,0.71226,0.86317,0.53201,0.87876,0.009703,0.009703,0.009703
5,5018.2,0.94397,0.5437,0.87483,0.91376,0.92435,0.95092,0.71682,0.85931,0.48196,0.87156,0.009604,0.009604,0.009604
6,5853.1,0.88343,0.50623,0.86866,0.93015,0.93328,0.9634,0.76334,0.7406,0.4363,0.85688,0.009505,0.009505,0.009505
7,6599.9,0.83751,0.47493,0.85972,0.94354,0.92615,0.96193,0.77544,0.71259,0.4288,0.85404,0.009406,0.009406,0.009406
8,7364.51,0.79956,0.45422,0.85572,0.94153,0.95169,0.97126,0.79403,0.70192,0.40295,0.84953,0.009307,0.009307,0.009307
9,8222.36,0.77104,0.43733,0.84918,0.9537,0.93605,0.96493,0.78125,0.66956,0.38482,0.85032,0.009208,0.009208,0.009208
10,1015.17,0.74253,0.41836,0.84638,0.95526,0.94064,0.97374,0.80834,0.60443,0.35215,0.83264,0.009109,0.009109,0.009109
11,2152.05,0.72416,0.40999,0.84138,0.95014,0.94379,0.97392,0.80214,0.61489,0.33981,0.83684,0.00901,0.00901,0.00901
12,3108.24,0.70021,0.39875,0.83734,0.95197,0.95062,0.97664,0.82438,0.58313,0.33724,0.83309,0.008911,0.008911,0.008911
13,4012.79,0.69405,0.39282,0.84024,0.95465,0.95107,0.97859,0.82897,0.55236,0.32361,0.83142,0.008812,0.008812,0.008812
14,4854,0.67391,0.38088,0.8371,0.95851,0.95482,0.97975,0.83636,0.54022,0.30767,0.82594,0.008713,0.008713,0.008713
15,5688.96,0.67426,0.37806,0.83766,0.96217,0.96428,0.98194,0.84064,0.53393,0.30229,0.8252,0.008614,0.008614,0.008614
16,6564.87,0.65037,0.365,0.83212,0.96489,0.95293,0.98196,0.85068,0.52759,0.29989,0.82188,0.008515,0.008515,0.008515
17,7440.03,0.64077,0.36224,0.83183,0.96598,0.95298,0.98181,0.84674,0.54902,0.29602,0.82319,0.008416,0.008416,0.008416
18,8319.34,0.63878,0.36142,0.83036,0.95928,0.95291,0.98096,0.85237,0.50649,0.28377,0.82098,0.008317,0.008317,0.008317
19,9175.42,0.62497,0.35564,0.82752,0.96905,0.95929,0.98234,0.86022,0.49192,0.27523,0.81707,0.008218,0.008218,0.008218
20,9998.27,0.62046,0.35159,0.82792,0.96685,0.95768,0.98369,0.85883,0.49552,0.27959,0.81691,0.008119,0.008119,0.008119
21,10816.8,0.6156,0.34631,0.82766,0.96808,0.96165,0.98828,0.86438,0.48884,0.27276,0.81652,0.00802,0.00802,0.00802
22,11578.7,0.60367,0.34286,0.82628,0.96854,0.96241,0.98782,0.86445,0.48288,0.27002,0.81508,0.007921,0.007921,0.007921
23,12311.3,0.59415,0.33722,0.82415,0.96601,0.96112,0.98719,0.86553,0.48582,0.27257,0.81459,0.007822,0.007822,0.007822
