epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,762.069,0.49737,0.66653,0.81484,0,0,0,0,0,0,0,0.000665,0.000665,0.000665
2,2919.76,0.53422,0.33199,0.81915,0,0,0,0,0,0,0,0.00119983,0.00119983,0.00119983
3,3685.75,0.53879,0.32444,0.81807,0,0,0,0,0,0,0,0.00160266,0.00160266,0.00160266
4,4426.6,0.53311,0.31786,0.81598,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
5,5139.58,0.51346,0.30288,0.81542,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
6,5841.04,0.49027,0.28739,0.81146,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
7,6501.21,0.46548,0.27246,0.80715,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
8,7185.65,0.44165,0.25834,0.80505,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
9,7841.98,0.41913,0.24424,0.80107,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
10,8701.1,0.40169,0.23107,0.79928,0.97104,0.95986,0.98321,0.88791,0.40233,0.22352,0.80394,0.000218,0.000218,0.000218
